1760964083438 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760966378940 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760966378952 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760966378952 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760966378960 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760966378960 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760966378960 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760966378963 | EMP-1 | Fernanda Montenegro |  | HourlyEmployee
1760966378965 | EMP-2 | Paloma Duarte |  | HourlyEmployee
1760966378972 | EMP-3 | Lavinia Vlasak |  | HourlyEmployee
1760966378974 | EMP-4 | Claudia Abreu |  | HourlyEmployee
1760966378977 | EMP-5 | Claudia Raia |  | HourlyEmployee
1760966378979 | EMP-6 | Natalia do Valle |  | SalariedEmployee
1760966378981 | EMP-7 | Regina Duarte |  | SalariedEmployee
1760966378982 | EMP-8 | Flavia Alessandra |  | SalariedEmployee
1760966378984 | EMP-9 | Deborah Secco |  | CommissionedEmployee
1760966378985 | EMP-10 | Ana Paula Arosio |  | CommissionedEmployee
1760966378988 | EMP-11 | Suzana Vieira |  | CommissionedEmployee
1760966378989 | EMP-12 | Maite Proenca |  | CommissionedEmployee
1760967111671 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760967111682 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760967111683 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760967111691 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760967111691 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760967111692 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760967111697 | EMP-1 | Fernanda Montenegro |  | HourlyEmployee
1760967111698 | EMP-2 | Paloma Duarte |  | HourlyEmployee
1760967111708 | EMP-3 | Lavinia Vlasak |  | HourlyEmployee
1760967111711 | EMP-4 | Claudia Abreu |  | HourlyEmployee
1760967111714 | EMP-5 | Claudia Raia |  | HourlyEmployee
1760967111718 | EMP-6 | Natalia do Valle |  | SalariedEmployee
1760967111720 | EMP-7 | Regina Duarte |  | SalariedEmployee
1760967111722 | EMP-8 | Flavia Alessandra |  | SalariedEmployee
1760967111724 | EMP-9 | Deborah Secco |  | CommissionedEmployee
1760967111726 | EMP-10 | Ana Paula Arosio |  | CommissionedEmployee
1760967111729 | EMP-11 | Suzana Vieira |  | CommissionedEmployee
1760967111733 | EMP-12 | Maite Proenca |  | CommissionedEmployee
1760967524348 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760967524362 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760967524363 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760967524371 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760967524372 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760967524372 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760967524378 | EMP-1 | Fernanda Montenegro |  | HourlyEmployee
1760967524380 | EMP-2 | Paloma Duarte |  | HourlyEmployee
1760967524389 | EMP-3 | Lavinia Vlasak |  | HourlyEmployee
1760967524392 | EMP-4 | Claudia Abreu |  | HourlyEmployee
1760967524396 | EMP-5 | Claudia Raia |  | HourlyEmployee
1760967524401 | EMP-6 | Natalia do Valle |  | SalariedEmployee
1760967524403 | EMP-7 | Regina Duarte |  | SalariedEmployee
1760967524406 | EMP-8 | Flavia Alessandra |  | SalariedEmployee
1760967524408 | EMP-9 | Deborah Secco |  | CommissionedEmployee
1760967524411 | EMP-10 | Ana Paula Arosio |  | CommissionedEmployee
1760967524414 | EMP-11 | Suzana Vieira |  | CommissionedEmployee
1760967524417 | EMP-12 | Maite Proenca |  | CommissionedEmployee
1760967575235 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760967575249 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760967575249 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760967575256 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760967575256 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760967575257 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760967575262 | EMP-1 | Fernanda Montenegro |  | HourlyEmployee
1760967575264 | EMP-2 | Paloma Duarte |  | HourlyEmployee
1760967575271 | EMP-3 | Lavinia Vlasak |  | HourlyEmployee
1760967575274 | EMP-4 | Claudia Abreu |  | HourlyEmployee
1760967575279 | EMP-5 | Claudia Raia |  | HourlyEmployee
1760967575282 | EMP-6 | Natalia do Valle |  | SalariedEmployee
1760967575284 | EMP-7 | Regina Duarte |  | SalariedEmployee
1760967575286 | EMP-8 | Flavia Alessandra |  | SalariedEmployee
1760967575288 | EMP-9 | Deborah Secco |  | CommissionedEmployee
1760967575290 | EMP-10 | Ana Paula Arosio |  | CommissionedEmployee
1760967575295 | EMP-11 | Suzana Vieira |  | CommissionedEmployee
1760967575298 | EMP-12 | Maite Proenca |  | CommissionedEmployee
1760968113377 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760968113391 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760968113391 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760968113417 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760968113417 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760968113418 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760968113430 | EMP-1 | Joao da Silva |  | HourlyEmployee
1760968113435 | EMP-2 | Joao da Silva |  | HourlyEmployee
1760968113439 | EMP-3 | Joao da Silva |  | HourlyEmployee
1760968113444 | EMP-4 | Mariazinha |  | SalariedEmployee
1760968113449 | EMP-5 | Gaiato Vendedor |  | CommissionedEmployee
1760968113454 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760968113454 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760968113455 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760968113629 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760968113643 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760968113644 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760968113666 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760968113666 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760968113666 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760968113674 | EMP-1 | Joao da Silva |  | HourlyEmployee
1760968113681 | EMP-2 | Maria |  | HourlyEmployee
1760968113688 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760968113689 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760968113689 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760968113836 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760968113849 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760968113850 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760968113872 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760968113872 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760968113873 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760968113880 | EMP-1 | Joao da Silva |  | HourlyEmployee
1760968113881 | EMP-2 | Mariazinha |  | HourlyEmployee
1760968113885 | EMP-3 | Gaiato Vendedor |  | CommissionedEmployee
1760968113886 | EMP-4 | Gorete |  | SalariedEmployee
1760968113919 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760968113919 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760968113920 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760968114074 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760968114086 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760968114087 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760968114106 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760968114107 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760968114107 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760968114115 | EMP-1 | Joao da Silva |  | CommissionedEmployee
1760968114117 | EMP-2 | Mariazinha |  | CommissionedEmployee
1760968114120 | EMP-3 | Gaiato Vendedor |  | HourlyEmployee
1760968114121 | EMP-4 | Gorete |  | SalariedEmployee
1760968114139 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760968114139 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760968114140 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760968114287 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760968114299 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760968114300 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760968114319 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760968114319 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760968114319 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760968114327 | EMP-1 | Joao da Silva |  | CommissionedEmployee
1760968114333 | EMP-2 | Mariazinha |  | SalariedEmployee
1760968114335 | EMP-3 | Gaiato Vendedor |  | HourlyEmployee
1760968114337 | EMP-4 | Gorete |  | HourlyEmployee
1760968114352 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760968114353 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760968114353 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760968114499 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760968114512 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760968114513 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760968114532 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760968114532 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760968114533 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760968114540 | EMP-1 | Joao da Silva |  | HourlyEmployee
1760968114549 | EMP-1 | Joaozinho da Silva |  | SalariedEmployee
1760968114558 | EMP-1 | Joaozinho da Silva |  | CommissionedEmployee
1760968114559 | EMP-1 | Joaozinho da Silva |  | CommissionedEmployee
1760968114562 | EMP-1 | Joao da Silva |  | HourlyEmployee
1760968114567 | EMP-1 | Joao da Silva |  | CommissionedEmployee
1760968114569 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760968114570 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760968114570 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760968114752 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760968114764 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760968114765 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760968114785 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760968114786 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760968114786 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760968114794 | EMP-1 | Fernanda Montenegro |  | HourlyEmployee
1760968114798 | EMP-2 | Paloma Duarte |  | HourlyEmployee
1760968114815 | EMP-3 | Lavinia Vlasak |  | HourlyEmployee
1760968114818 | EMP-4 | Claudia Abreu |  | HourlyEmployee
1760968114823 | EMP-5 | Claudia Raia |  | HourlyEmployee
1760968114826 | EMP-6 | Natalia do Valle |  | SalariedEmployee
1760968114843 | EMP-7 | Regina Duarte |  | SalariedEmployee
1760968114845 | EMP-8 | Flavia Alessandra |  | SalariedEmployee
1760968114848 | EMP-9 | Deborah Secco |  | CommissionedEmployee
1760968114851 | EMP-10 | Ana Paula Arosio |  | CommissionedEmployee
1760968114855 | EMP-11 | Suzana Vieira |  | CommissionedEmployee
1760968114858 | EMP-12 | Maite Proenca |  | CommissionedEmployee
1760968115141 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760968115156 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760968115156 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760968115185 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760968115185 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760968115186 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760968115197 | EMP-1 | Joao da Silva |  | HourlyEmployee
1760968115203 | EMP-2 | Gaiato Vendedor |  | CommissionedEmployee
1760968115210 | EMP-3 | Joaozinho da Silva |  | HourlyEmployee
1760968115291 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760968115291 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760968115292 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760968115324 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760968115324 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760968115325 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760968115502 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760968115515 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760968115515 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760968115534 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760968115535 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760968115535 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760968115542 | EMP-1 | Joao da Silva |  | HourlyEmployee
1760968115545 | EMP-2 | Mariazinha |  | SalariedEmployee
1760968115549 | EMP-3 | Gaiato Vendedor |  | CommissionedEmployee
1760968115554 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760968115555 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760968115555 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760968115556 | EMP-4 | Alfa Um Horista |  | HourlyEmployee
1760968115585 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760968115586 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760968115586 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760968115587 | EMP-5 | Alfa Um Horista |  | HourlyEmployee
1760968115600 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760968115601 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760968115601 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760968115602 | EMP-6 | Beta Dois Assalariado |  | SalariedEmployee
1760968115611 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760968115612 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760968115612 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760968115614 | EMP-7 | Beta Dois Assalariado |  | SalariedEmployee
1760968115622 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760968115623 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760968115623 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760968115625 | EMP-8 | Gama Tres Comissionado |  | CommissionedEmployee
1760968115634 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760968115634 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760968115635 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760968115636 | EMP-9 | Gama Tres Comissionado |  | CommissionedEmployee
1760968115645 | EMP-10 | Joao da Silva |  | HourlyEmployee
1760968115647 | EMP-11 | Mariazinha |  | SalariedEmployee
1760968115648 | EMP-12 | Gaiato Vendedor |  | CommissionedEmployee
1760968115649 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760968115650 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760968115650 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760968115791 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760968115806 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760968115807 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760968115829 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760968115829 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760968115830 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760968115842 | EMP-1 | Joao da Silva |  | HourlyEmployee
1760968115844 | __SCHEDULE__::mensal 1 | SCHEDULE | mensal 1 | SalariedEmployee
1760968115846 | __SCHEDULE__::semanal 2 | SCHEDULE | semanal 2 | SalariedEmployee
1760968115850 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760968115850 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760968115851 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760968115852 | EMP-4 | Joao da Silva |  | SalariedEmployee
1760968115854 | __SCHEDULE__::mensal 1 | SCHEDULE | mensal 1 | SalariedEmployee
1760968115898 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760968115898 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760968115899 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760968115900 | EMP-6 | Joao da Silva |  | SalariedEmployee
1760968115901 | __SCHEDULE__::semanal 2 | SCHEDULE | semanal 2 | SalariedEmployee
1760968115916 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760968115916 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760968115917 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760968115918 | EMP-8 | Joao da Silva |  | SalariedEmployee
1760968115919 | __SCHEDULE__::semanal 3 3 | SCHEDULE | semanal 3 3 | SalariedEmployee
1760968115935 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760968115936 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760968115936 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760968115937 | EMP-10 | Joao da Silva |  | SalariedEmployee
1760968115938 | __SCHEDULE__::semanal 52 1 | SCHEDULE | semanal 52 1 | SalariedEmployee
1760968115977 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760968115977 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760968115977 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760968115979 | EMP-12 | Joao da Silva |  | HourlyEmployee
1760968115981 | __SCHEDULE__::mensal 1 | SCHEDULE | mensal 1 | SalariedEmployee
1760968115982 | __SCHEDULE__::semanal 2 | SCHEDULE | semanal 2 | SalariedEmployee
1760968115982 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760968115983 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760968115983 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760968188778 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760968188790 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760968188790 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760968188807 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760968188807 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760968188808 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760968188816 | EMP-1 | Joao da Silva |  | HourlyEmployee
1760968188819 | EMP-2 | Joao da Silva |  | HourlyEmployee
1760968188823 | EMP-3 | Joao da Silva |  | HourlyEmployee
1760968188825 | EMP-4 | Mariazinha |  | SalariedEmployee
1760968188829 | EMP-5 | Gaiato Vendedor |  | CommissionedEmployee
1760968188832 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760968188833 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760968188833 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760968188996 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760968189008 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760968189009 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760968189028 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760968189028 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760968189028 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760968189035 | EMP-1 | Joao da Silva |  | HourlyEmployee
1760968189040 | EMP-2 | Maria |  | HourlyEmployee
1760968189046 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760968189046 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760968189046 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760968189174 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760968189187 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760968189188 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760968189207 | __SCHEDULE__::mensal $ | SCHEDULE | mensal $ | SalariedEmployee
1760968189207 | __SCHEDULE__::semanal 5 | SCHEDULE | semanal 5 | SalariedEmployee
1760968189208 | __SCHEDULE__::semanal 2 5 | SCHEDULE | semanal 2 5 | SalariedEmployee
1760968189215 | EMP-1 | Joao da Silva |  | HourlyEmployee
1760968189216 | EMP-2 | Mariazinha |  | HourlyEmployee
1760968189219 | EMP-3 | Gaiato Vendedor |  | CommissionedEmployee
1760968189221 | EMP-4 | Gorete |  | SalariedEmployee
